Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.03     98.34     0.03      837     0.00     0.00  camlList__nth_69
  0.03     98.37     0.03       25     0.00     0.00  camlCode_tuple__fun_607
  0.03     98.40     0.03                             camlCamlinternalOO__new_id_64
  0.03     98.43     0.03                             camlCamlinternalOO__run_initializers_365
  0.03     98.46     0.03                             camlCode_util_xpath__code_end
  0.03     98.49     0.03                             camlCursor__cursor_append_234
  0.03     98.52     0.03                             camlHashtbl__find_rec_226
  0.03     98.55     0.03                             camlNamespace_names__escaped_uqname_of_string_177
  0.03     98.58     0.03  8326719     0.00     0.00  camlTuple_context_manager__fun_277
  0.03     98.61     0.03  8195422     0.00     0.00  camlCursor_descendant__next_event_142
  0.03     98.64     0.03  6492130     0.00     0.00  camlDm_util__node_equal_202
  0.03     98.67     0.03  5407324     0.00     0.00  camlPhysical_util__get_atomic_309
  0.03     98.70     0.03  4097301     0.00     0.00  camlDm_step__item_matches_kind_test_594
  0.03     98.73     0.03  4054830     0.00     0.00  camlCode_tuple__build_default_tuple_select_code_496
  0.03     98.76     0.03  2703220     0.00     0.00  camlPhysical_util__get_string_168
  0.03     98.79     0.03  1530827     0.00     0.00  camlDm_atomic__fun_5439
  0.03     98.82     0.03  1366080     0.00     0.00  camlArray__to_list_147
  0.03     98.85     0.03  1355164     0.00     0.00  caml_send3
  0.03     98.88     0.03  1354478     0.00     0.00  caml_curry7_3
  0.03     98.91     0.03  1351610     0.00     0.00  camlCode_fn___op_string_equal_1138
  0.03     98.94     0.03  1330816     0.00     0.00  camlCode_tuple__eval_pred_503
  0.03     98.97     0.03   644194     0.00     0.00  camlPrintf__scan_conv_275
  0.03     99.00     0.03   546025     0.00     0.00  caml_initialize
  0.03     99.03     0.03   539806     0.00     0.00  camlStreaming_ops__typed_event_wrap_452
  0.03     99.06     0.03   305122     0.00     0.00  caml_major_collection_slice
  0.03     99.09     0.03   276090     0.00     0.00  camlStreaming_ops__next_event_of_compose_resolved_xml_streams_603
  0.03     99.12     0.03   176681     0.00     0.00  camlFormat__pp_rinit_380
  0.03     99.15     0.03    43356     0.00     0.00  camlCode_user_defined_fn__fun_374
  0.02     99.17     0.03  4139756     0.00     0.00  camlCursor_context__pop_node_from_cursor_context_149
  0.02     99.20     0.03  1503610     0.00     0.00  camlPhysical_value_util__item_cursor_of_xml_value_224
  0.02     99.22     0.03    22563     0.00     0.00  camlPhysical_value_util__sax_value_of_physical_value_188
  0.02     99.25     0.03                             camlCursor__cursor_empty_189
  0.02     99.27     0.03                             camlPhysical_util__get_atomic_in_cursor_343
